r,g,b,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
12,191,145,3.58554e-10,4.04292e-10,5.25646e-09,2.77012e-09,4.97043e-10,7.0484e-10,4.09788e-10,1.93337e-07,4.47424e-10,8.40664e-10,4.26107e-09,1.22323e-08,1.89636e-10,4.20873e-10,1.16353e-09,6.33335e-09,3.47186e-08,1.40913e-09,3.80402e-10,1.38449e-10
237,19,40,3.04762e-10,6.04915e-10,1.83334e-10,3.03536e-10,1.85487e-09,9.01969e-10,1.27764e-09,1.83898e-10,1.77518e-08,1.57606e-10,7.84866e-10,6.6999e-11,6.80907e-10,3.4586e-09,3.05184e-10,3.13853e-10,1.94641e-10,2.65135e-10,6.62449e-10,9.33813e-07
169,206,236,4.57929e-08,5.11891e-10,1.12187e-09,4.19822e-09,1.59914e-10,7.25275e-10,2.96441e-09,7.51938e-10,5.59679e-10,2.24323e-06,1.98433e-09,2.70455e-09,7.96443e-10,9.62707e-10,1.47659e-08,2.91887e-10,7.01496e-10,2.591e-10,7.47815e-09,1.46921e-10
247,241,14,4.25782e-10,1.13737e-07,9.5273e-11,1.55641e-10,1.75075e-10,1.2977e-10,3.03593e-09,1.65157e-10,8.24332e-10,4.26943e-10,1.07586e-09,1.17392e-10,1.03322e-10,2.62404e-10,1.93966e-09,3.05207e-10,4.86427e-10,7.2154e-11,2.98928e-10,4.46708e-10
47,215,134,5.61725e-10,8.3227e-10,2.54504e-09,2.38224e-09,4.41612e-10,6.04298e-10,7.39262e-10,2.81527e-08,5.91094e-10,1.61902e-09,9.55413e-09,1.11373e-08,1.96303e-10,4.71064e-10,3.1092e-09,5.6209e-09,1.38129e-07,7.60906e-10,5.0425e-10,1.65256e-10
48,87,208,6.27061e-10,1.91081e-10,3.33399e-05,1.22221e-07,9.00523e-10,1.27057e-08,4.5737e-10,1.22122e-08,7.78405e-10,7.60074e-10,2.16781e-09,2.21763e-09,1.22379e-09,2.11165e-09,6.2606e-10,1.20059e-09,1.15693e-09,1.71403e-08,1.31357e-09,2.15168e-10
246,248,169,1.29868e-08,1.9203e-09,2.17969e-10,5.17511e-10,1.13704e-10,2.42751e-10,1.14046e-08,2.42622e-10,5.76791e-10,1.55291e-08,1.27015e-09,4.09339e-10,3.00288e-10,4.90266e-10,3.47643e-08,1.93075e-10,4.3274e-10,9.69763e-11,2.06477e-09,1.85849e-10
53,253,53,2.32506e-10,1.79398e-09,4.14274e-10,4.16375e-10,3.30633e-10,2.11311e-10,4.9892e-10,2.38425e-09,4.20911e-10,4.99221e-10,3.56313e-09,9.8162e-10,8.5272e-11,2.13397e-10,1.49155e-09,5.73134e-09,9.33749e-08,2.61919e-10,1.96553e-10,1.59171e-10
38,3,159,2.09833e-10,1.25754e-10,8.04976e-09,3.33346e-09,3.79882e-09,1.92682e-08,2.39534e-10,2.32231e-09,8.88169e-10,1.86743e-10,8.76443e-10,3.11761e-10,9.48707e-10,2.09335e-09,2.07555e-10,1.02248e-09,4.62408e-10,7.5241e-07,4.97333e-10,3.68435e-10
68,6,224,3.49368e-10,9.94757e-11,1.1787e-08,7.98893e-09,8.81337e-10,3.6982e-08,2.6184e-10,1.19153e-09,6.19333e-10,2.73992e-10,6.17435e-10,3.753e-10,3.04442e-09,2.77408e-09,2.28546e-10,3.93346e-10,2.81305e-10,1.42974e-08,9.85288e-10,2.37495e-10
234,62,28,3.94771e-10,1.58228e-09,1.92414e-10,3.28801e-10,1.70934e-09,7.35777e-10,2.63358e-09,2.29327e-10,3.85708e-08,2.17203e-10,1.39901e-09,8.3699e-11,5.02897e-10,2.77558e-09,5.21324e-10,4.52874e-10,3.01125e-10,2.441e-10,7.30404e-10,3.18074e-07
95,7,203,4.79639e-10,1.3631e-10,8.03074e-09,9.73217e-09,1.44841e-09,3.41212e-07,4.06523e-10,1.18674e-09,1.20897e-09,3.28601e-10,9.15377e-10,3.37152e-10,6.49183e-09,8.09478e-09,3.00929e-10,4.76492e-10,3.24503e-10,1.08288e-08,1.65807e-09,4.10182e-10
253,6,234,1.20515e-09,1.24726e-10,3.33528e-10,8.21035e-10,2.33129e-10,1.96326e-09,7.06314e-10,1.42102e-10,8.38892e-10,3.38473e-10,3.10995e-10,1.02204e-10,1.22022e-07,5.38263e-09,2.72172e-10,9.73582e-11,9.27902e-11,2.45451e-10,5.93306e-09,4.19563e-10
168,86,65,7.70104e-10,2.62212e-09,7.08574e-10,1.32174e-09,7.27711e-09,3.02819e-09,5.47635e-09,1.003e-09,4.40288e-06,5.0686e-10,1.43787e-08,2.29077e-10,8.93089e-10,1.11451e-08,1.44972e-09,2.15493e-09,1.22509e-09,8.97225e-10,1.67361e-09,1.50408e-08
198,3,74,3.69752e-10,4.36687e-10,3.65759e-10,6.11137e-10,4.9561e-09,3.11753e-09,1.15299e-09,3.09777e-10,3.11848e-08,1.91977e-10,1.12205e-09,9.41235e-11,1.54369e-09,1.35312e-08,3.31023e-10,4.56245e-10,2.52413e-10,6.35308e-10,1.03855e-09,6.09203e-08
101,161,111,1.21947e-09,2.54644e-09,3.19205e-09,5.5468e-09,1.64188e-09,2.14999e-09,3.37941e-09,1.52247e-08,4.36104e-09,1.99179e-09,3.0296e-06,1.82357e-09,5.03124e-10,2.28656e-09,7.37967e-09,1.19147e-08,3.45263e-08,1.51285e-09,1.55487e-09,6.20032e-10
245,196,138,1.57344e-08,4.79136e-09,3.0085e-10,7.96481e-10,2.32226e-10,4.846e-10,4.91971e-07,3.34199e-10,2.13099e-09,6.32303e-09,3.1619e-09,3.35984e-10,5.78511e-10,1.3906e-09,3.74027e-08,3.13993e-10,5.80329e-10,1.56692e-10,5.09226e-09,5.06396e-10
41,113,107,3.72222e-10,5.57178e-10,8.78784e-09,4.72784e-09,4.66969e-09,3.33176e-09,6.51985e-10,1.56192e-07,1.94469e-09,5.0224e-10,1.36386e-08,1.21048e-09,3.98953e-10,1.52754e-09,8.94481e-10,5.26114e-08,1.22948e-08,1.17123e-08,6.06691e-10,4.71006e-10
209,87,247,1.41415e-08,2.38553e-10,1.06728e-09,5.09234e-09,2.60759e-10,3.56428e-09,2.12328e-09,3.71145e-10,1.13161e-09,2.26845e-09,9.15754e-10,3.70218e-10,4.585e-08,7.89021e-09,1.13795e-09,1.83769e-10,2.27706e-10,4.03038e-10,3.38869e-07,3.12121e-10
141,169,203,1.60163e-08,7.58797e-10,3.9744e-09,2.91683e-08,3.83204e-10,2.37782e-09,4.71569e-09,2.45744e-09,1.44734e-09,4.08533e-08,8.91134e-09,3.81921e-09,1.4184e-09,2.82555e-09,1.70818e-08,7.382e-10,1.72347e-09,7.09653e-10,1.34143e-08,2.72628e-10
94,122,77,5.75274e-10,1.94417e-09,2.23779e-09,2.80914e-09,7.50255e-09,2.83657e-09,1.91975e-09,9.61615e-09,9.72874e-09,6.62919e-10,1.43893e-07,6.70278e-10,4.71964e-10,2.85426e-09,1.89824e-09,4.05646e-08,1.26516e-08,2.56576e-09,9.39474e-10,1.31628e-09
253,239,185,2.47157e-08,1.29527e-09,2.22673e-10,5.54513e-10,1.07593e-10,2.58237e-10,1.02066e-08,2.23448e-10,5.46784e-10,1.88651e-08,1.06525e-09,3.91184e-10,3.61567e-10,5.3178e-10,2.08103e-08,1.67399e-10,3.53595e-10,9.85129e-11,2.77576e-09,1.77649e-10
149,230,161,5.76266e-09,2.40583e-09,9.50148e-10,2.3707e-09,2.59606e-10,5.91293e-10,6.30107e-09,1.55824e-09,9.90481e-10,4.40373e-08,1.08806e-08,3.03114e-09,3.73937e-10,8.40874e-10,8.2328e-07,8.37885e-10,3.58333e-09,3.02419e-10,2.26112e-09,2.24222e-10
215,40,126,1.34235e-09,5.93497e-10,5.90208e-10,1.47637e-09,1.67397e-09,6.54591e-09,4.0934e-09,3.96925e-10,4.43044e-08,4.73471e-10,1.9779e-09,1.55833e-10,7.05885e-09,2.28451e-07,7.77818e-10,4.0922e-10,3.13311e-10,6.169e-10,6.38834e-09,6.89399e-09
98,36,105,4.07946e-10,4.15211e-10,3.10925e-09,3.53003e-09,5.17346e-08,3.3353e-08,8.38836e-10,2.66931e-09,1.02604e-08,3.02927e-10,4.43888e-09,3.03107e-10,1.34953e-09,1.22476e-08,5.08688e-10,2.94957e-09,1.02039e-09,1.29756e-08,1.09219e-09,2.14444e-09
32,111,19,1.43051e-10,6.36295e-10,7.58496e-10,5.64009e-10,7.6807e-09,6.77986e-10,3.49257e-10,4.11473e-09,1.31245e-09,1.68333e-10,3.36025e-09,2.93499e-10,1.46901e-10,5.21043e-10,3.67946e-10,3.69364e-07,5.76384e-09,1.75583e-09,2.0324e-10,5.98164e-10
53,194,186,9.6179e-10,4.51385e-10,9.3803e-09,9.48901e-09,3.73423e-10,1.05e-09,7.42316e-10,2.72718e-08,5.45229e-10,2.88692e-09,5.65885e-09,7.76044e-08,3.39279e-10,6.71542e-10,2.97937e-09,1.9656e-09,8.74671e-09,1.16414e-09,8.85207e-10,1.44622e-10
190,207,168,3.27857e-08,2.57837e-09,7.33188e-10,2.3446e-09,2.63104e-10,7.4404e-10,3.21821e-08,8.26736e-10,1.56242e-09,7.98655e-08,7.69175e-09,1.18691e-09,6.56443e-10,1.48353e-09,2.0171e-06,5.21343e-10,1.36275e-09,2.63051e-10,7.0393e-09,3.16396e-10
50,130,33,2.07771e-10,1.09819e-09,9.6394e-10,8.00655e-10,5.75615e-09,8.21004e-10,5.59567e-10,6.49145e-09,1.94205e-09,2.56169e-10,8.55e-09,4.19738e-10,1.79021e-10,6.90077e-10,6.34963e-10,2.72492e-06,1.52876e-08,1.63888e-09,2.82959e-10,6.76237e-10
11,57,122,2.00699e-10,2.03014e-10,1.03593e-08,2.97819e-09,5.77978e-09,4.57809e-09,2.77173e-10,1.61061e-08,9.53574e-10,2.16673e-10,1.94442e-09,5.67209e-10,4.0243e-10,1.16209e-09,3.03015e-10,5.97393e-09,1.63529e-09,4.44665e-07,3.67405e-10,3.46376e-10
119,75,150,1.39741e-09,5.79348e-10,9.26583e-09,3.26143e-08,4.00213e-09,1.37989e-07,2.20924e-09,4.2675e-09,1.08426e-08,9.50986e-10,1.2857e-08,6.98255e-10,3.63727e-09,5.14535e-08,1.47159e-09,2.02546e-09,1.46102e-09,6.33413e-09,5.00184e-09,1.16087e-09
4,177,66,1.80019e-10,5.79202e-10,1.26211e-09,8.00672e-10,1.01075e-09,4.6623e-10,3.27732e-10,2.3614e-08,5.52503e-10,2.96199e-10,3.95412e-09,1.09245e-09,1.20206e-10,3.27986e-10,6.12115e-10,1.55187e-07,1.05519e-07,1.22322e-09,2.04309e-10,2.04541e-10
155,185,236,3.20906e-08,4.69071e-10,2.02519e-09,1.01863e-08,2.06558e-10,1.19542e-09,2.77408e-09,1.0932e-09,6.96001e-10,1.42107e-07,2.57906e-09,3.43092e-09,1.17305e-09,1.42765e-09,1.11586e-08,3.61696e-10,8.176e-10,3.92142e-10,1.08011e-08,1.6924e-10
41,23,210,3.01397e-10,1.08566e-10,3.49988e-08,9.51739e-09,1.09718e-09,2.12176e-08,2.46767e-10,2.417e-09,5.91214e-10,2.6429e-10,7.75002e-10,5.29989e-10,1.44674e-09,1.91842e-09,2.4843e-10,6.18046e-10,4.14567e-10,5.45784e-08,7.11184e-10,2.1885e-10
109,205,145,2.24957e-09,2.05153e-09,2.28572e-09,4.81252e-09,4.91013e-10,1.00692e-09,3.39094e-09,6.6844e-09,1.40231e-09,7.43602e-09,5.16123e-08,5.45921e-09,3.96524e-10,1.11301e-09,3.3538e-08,2.60682e-09,1.81479e-08,6.56371e-10,1.66056e-09,2.79995e-10
20,75,32,1.25927e-10,3.60403e-10,9.72748e-10,6.26733e-10,1.92783e-08,9.67725e-10,2.68733e-10,3.85359e-09,1.19692e-09,1.37219e-10,2.04668e-09,2.50916e-10,1.72554e-10,5.99642e-10,2.59803e-10,4.67758e-08,2.43702e-09,3.95263e-09,1.96232e-10,6.00385e-10
109,214,121,1.47535e-09,3.49161e-09,1.41337e-09,2.46964e-09,5.13084e-10,7.37501e-10,3.25338e-09,5.34952e-09,1.43602e-09,4.12619e-09,6.56292e-08,3.16729e-09,2.93254e-10,8.71079e-10,2.74176e-08,3.57516e-09,3.8118e-08,5.39139e-10,1.1008e-09,3.02365e-10
131,234,107,1.43861e-09,7.86638e-09,6.9401e-10,1.22379e-09,3.72594e-10,4.63028e-10,4.27671e-09,2.0493e-09,1.23879e-09,3.99939e-09,2.61871e-08,1.65549e-09,2.27769e-10,6.41843e-10,5.15388e-08,2.05509e-09,1.5009e-08,3.14573e-10,9.00842e-10,2.91922e-10
62,232,61,3.0812e-10,2.39754e-09,5.98001e-10,6.21865e-10,4.84258e-10,3.08715e-10,7.19783e-10,4.02116e-09,6.50969e-10,6.23058e-10,7.9543e-09,1.1807e-09,1.14211e-10,3.13159e-10,2.05944e-09,1.10654e-08,4.99439e-07,3.91496e-10,2.70142e-10,2.16535e-10
235,45,177,2.88188e-09,3.58064e-10,5.60557e-10,1.71255e-09,5.8182e-10,4.90473e-09,3.45109e-09,2.88951e-10,5.34711e-09,6.69665e-10,1.07984e-09,1.64317e-10,4.3496e-08,7.35223e-08,7.75106e-10,2.24262e-10,2.10766e-10,4.18402e-10,2.8255e-08,1.44612e-09
159,240,132,3.323e-09,5.94214e-09,5.90635e-10,1.26486e-09,2.62999e-10,4.39411e-10,8.07499e-09,1.15478e-09,1.09009e-09,1.28976e-08,1.171e-08,1.54148e-09,2.77421e-10,6.87139e-10,9.36263e-07,9.11578e-10,4.03419e-09,2.39972e-10,1.44187e-09,2.58164e-10
41,134,114,4.31045e-10,6.38023e-10,9.16967e-09,5.25868e-09,2.52412e-09,2.42438e-09,7.19274e-10,6.1341e-07,1.58638e-09,6.26266e-10,1.87049e-08,1.95895e-09,3.60366e-10,1.25731e-09,1.20013e-09,4.82996e-08,2.78289e-08,6.31721e-09,6.20419e-10,3.74619e-10
62,228,162,8.61406e-10,7.26341e-10,2.46143e-09,2.91822e-09,2.98885e-10,5.61632e-10,8.47796e-10,1.07741e-08,4.9387e-10,3.23399e-09,6.47143e-09,3.47918e-08,2.19796e-10,4.61041e-10,5.04488e-09,2.11415e-09,2.08564e-08,5.90219e-10,6.41054e-10,1.37807e-10
28,32,232,2.78484e-10,9.01014e-11,4.43305e-08,8.60743e-09,6.41059e-10,8.41474e-09,2.00505e-10,2.17981e-09,3.92514e-10,2.63475e-10,5.91459e-10,6.44696e-10,1.09274e-09,1.17177e-09,2.24244e-10,4.76869e-10,3.64699e-10,2.12294e-08,5.93401e-10,1.54792e-10
163,215,169,1.29883e-08,2.23228e-09,1.02485e-09,3.10533e-09,2.77915e-10,7.59397e-10,1.13406e-08,1.34217e-09,1.27239e-09,8.96228e-08,1.1039e-08,2.30512e-09,5.33336e-10,1.20926e-09,1.94733e-06,7.14609e-10,2.38553e-09,3.19896e-10,4.18209e-09,2.62466e-10
100,98,163,1.53535e-09,5.58144e-10,2.88307e-08,1.43291e-07,2.29777e-09,3.97811e-08,1.85569e-09,1.08184e-08,4.47302e-09,1.38518e-09,1.76122e-08,1.43269e-09,2.23918e-09,1.2476e-08,1.96577e-09,2.58276e-09,2.41855e-09,7.25041e-09,4.12868e-09,6.44558e-10
35,192,64,2.55239e-10,1.17116e-09,1.09649e-09,8.94497e-10,9.62647e-10,4.85751e-10,5.42252e-10,1.49711e-08,7.88233e-10,4.4353e-10,9.06642e-09,1.21248e-09,1.3677e-10,4.03124e-10,1.14074e-09,1.12235e-07,1.91495e-06,8.77335e-10,2.71157e-10,2.59557e-10
220,44,177,2.80295e-09,3.64526e-10,7.43682e-10,2.4071e-09,7.25553e-10,8.38965e-09,3.30964e-09,3.59905e-10,6.46625e-09,7.08006e-10,1.32091e-09,1.90048e-10,6.34871e-08,1.99368e-07,8.23117e-10,2.67667e-10,2.4533e-10,5.53222e-10,3.10806e-08,1.50431e-09
10,68,51,1.29399e-10,2.88098e-10,1.42217e-09,7.91183e-10,1.61285e-08,1.2337e-09,2.4789e-10,5.5043e-09,1.03906e-09,1.41818e-10,1.87014e-09,2.91399e-10,1.93509e-10,6.40268e-10,2.49294e-10,3.06171e-08,2.22211e-09,7.92771e-09,2.07563e-10,5.06826e-10
254,224,207,8.16606e-08,8.24341e-10,2.53436e-10,6.82552e-10,1.05822e-10,3.04242e-10,8.10284e-09,2.2093e-10,5.28104e-10,3.02018e-08,9.32573e-10,4.07887e-10,4.9911e-10,6.29773e-10,1.33945e-08,1.50446e-10,2.99905e-10,1.05785e-10,4.69575e-09,1.67524e-10
165,28,153,1.11774e-09,3.63226e-10,1.772e-09,4.7504e-09,2.80967e-09,1.17402e-07,1.76963e-09,7.89657e-10,1.36051e-08,4.91375e-10,2.33545e-09,2.42234e-10,1.68051e-08,3.24409e-06,6.63235e-10,5.8846e-10,4.07733e-10,2.02621e-09,6.22375e-09,2.34318e-09
74,12,239,4.01362e-10,9.5537e-11,1.17239e-08,9.54517e-09,6.55179e-10,2.73281e-08,2.66491e-10,1.0549e-09,5.49603e-10,2.95522e-10,5.74314e-10,4.08185e-10,3.72396e-09,2.60931e-09,2.42686e-10,3.32586e-10,2.60242e-10,7.3938e-09,1.11741e-09,2.12671e-10
176,214,31,5.94215e-10,2.71428e-06,2.40744e-10,3.85411e-10,4.77775e-10,2.93174e-10,5.00876e-09,5.74023e-10,2.27803e-09,7.31949e-10,7.813e-09,2.77459e-10,1.61638e-10,5.42798e-10,4.79139e-09,1.44794e-09,2.78254e-09,1.85894e-10,4.9097e-10,7.11094e-10
100,100,157,1.48219e-09,6.16434e-10,2.37605e-08,9.45908e-08,2.56215e-09,3.32333e-08,1.9727e-09,1.1877e-08,5.07237e-09,1.36116e-09,2.28333e-08,1.40038e-09,2.00794e-09,1.21224e-08,2.0773e-09,3.03199e-09,2.77294e-09,7.06464e-09,3.83523e-09,6.93267e-10
15,158,194,4.67492e-10,2.34936e-10,4.70714e-08,1.05489e-08,4.56544e-10,1.38613e-09,3.71099e-10,9.27865e-08,4.18117e-10,9.22383e-10,2.49976e-09,2.17607e-08,3.28694e-10,5.97692e-10,8.88959e-10,2.03869e-09,4.11125e-09,3.04452e-09,5.61942e-10,1.28256e-10
3,85,210,2.93033e-10,1.25337e-10,5.2253e-07,1.13548e-08,6.55612e-10,3.47645e-09,2.29871e-10,1.29272e-08,3.9054e-10,3.70873e-10,1.04431e-09,1.99696e-09,5.14771e-10,7.86927e-10,3.38903e-10,1.08424e-09,9.47455e-10,2.22334e-08,4.913e-10,1.38604e-10
141,223,63,7.96567e-10,4.42623e-08,4.35937e-10,6.92569e-10,5.05727e-10,3.91254e-10,4.25134e-09,1.34004e-09,1.82846e-09,1.36738e-09,2.4495e-08,6.45442e-10,1.85827e-10,6.05531e-10,1.17795e-08,2.81018e-09,1.1761e-08,2.7635e-10,6.13579e-10,4.58215e-10
149,246,161,4.3058e-09,2.25431e-09,7.31099e-10,1.63555e-09,2.0997e-10,4.38289e-10,4.46278e-09,1.24508e-09,7.33239e-10,3.87085e-08,6.7047e-09,2.95134e-09,2.90524e-10,6.0665e-10,4.24241e-07,7.04255e-10,3.1653e-09,2.43112e-10,1.56191e-09,1.8384e-10
148,124,163,6.57721e-09,1.1497e-09,4.51947e-09,3.41414e-08,1.16287e-09,1.01364e-08,9.72633e-09,3.02813e-09,8.31929e-09,4.20875e-09,3.54802e-08,1.19073e-09,2.95798e-09,2.04074e-08,7.86947e-09,1.37842e-09,1.94547e-09,1.4475e-09,2.05488e-08,8.02801e-10
3,151,75,1.89039e-10,4.8398e-10,2.02998e-09,1.11146e-09,1.64024e-09,7.04097e-10,3.33763e-10,5.47913e-08,6.83026e-10,2.8679e-10,4.35925e-09,1.04656e-09,1.51542e-10,4.34279e-10,5.54339e-10,3.20276e-07,3.91897e-08,2.43694e-09,2.36479e-10,2.47202e-10
243,240,85,1.79437e-09,3.23837e-08,1.64866e-10,3.25609e-10,1.78046e-10,2.14327e-10,1.82773e-08,2.50662e-10,1.09996e-09,1.87643e-09,2.10225e-09,2.36096e-10,1.95046e-10,4.71387e-10,1.37911e-08,3.22915e-10,6.6042e-10,1.00932e-10,8.68189e-10,3.72114e-10
